question4,question5,question6,question7,question8,question9,question10,question13
1,0,1,1,1,1,1,1
0,0,1,1,1,0,1,1
0,1,1,0,1,0,0,1
1,1,1,1,0,0,1,1
1,0,1,1,0,0,1,1
0,0,0,0,0,1,1,1
1,0,1,1,0,1,1,1
0,1,0,1,1,1,1,1
1,1,1,0,1,1,1,1
0,0,0,0,0,0,1,1
1,0,1,1,0,1,1,1
0,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1
0,0,1,1,0,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1
0,0,0,0,0,0,0,1
0,1,0,1,0,0,1,1
1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1
1,0,1,1,0,0,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,1
1,1,1,1,1,1,1,0
1,1,1,1,1,0,1,0
1,1,1,1,0,1,1,1
1,1,1,1,0,1,1,1
1,1,1,1,0,1,1,1
1,1,1,0,0,1,1,1
0,1,1,1,0,0,1,1
1,0,0,1,1,1,1,1
1,0,1,1,0,1,1,1
1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,1
1,1,1,1,0,1,1,1
1,0,0,0,0,0,1,1
0,1,0,1,1,1,1,1
0,0,1,1,0,1,1,1
0,0,0,1,0,1,1,1
1,0,0,1,1,1,1,1
1,1,1,1,0,1,1,1
0,0,1,0,0,0,1,0
0,1,1,1,0,1,0,0
1,1,0,0,1,1,1,1
0,1,0,1,0,1,0,0
0,1,0,0,0,0,1,0
0,1,1,0,1,0,0,1
0,1,0,0,1,0,0,1
0,1,1,0,1,1,0,0
1,0,0,0,1,1,1,1
1,1,1,0,0,1,1,0
1,1,1,1,0,0,1,0
0,0,0,1,1,1,1,0
1,0,0,0,0,1,1,1
1,0,0,0,0,0,0,1
1,0,1,0,1,0,1,0
1,1,1,0,1,1,0,0
1,0,1,1,1,0,0,0
1,0,0,0,1,0,1,1
1,1,0,1,0,1,1,0
0,0,0,1,0,0,0,1
0,0,0,0,1,1,1,1
1,1,0,1,1,0,1,0
1,0,1,1,1,1,0,0
0,1,0,0,0,0,1,0
1,0,1,0,0,0,0,1
0,1,1,0,0,1,0,0
1,1,1,1,0,0,0,0
1,0,1,0,1,0,1,1
0,0,0,0,1,1,1,1
1,1,0,0,1,1,1,0
1,0,1,0,0,0,1,0
0,0,0,0,1,1,0,1
1,0,0,0,0,1,0,1
0,0,1,1,1,0,1,1
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
1,0,0,0,1,0,0,1
0,1,1,1,0,1,1,0
0,0,0,1,1,1,1,0
1,1,0,0,0,0,0,0
0,1,1,0,1,0,1,1
1,1,1,1,0,0,0,0
0,0,0,0,0,1,0,0
0,1,1,0,1,1,0,0
1,0,1,0,1,1,0,1
1,0,1,0,0,1,0,1
0,1,1,0,1,0,1,0
0,0,0,0,1,0,1,0
0,1,0,1,1,0,1,0
1,0,1,1,0,0,1,1
1,0,1,1,1,1,0,0
0,1,0,0,0,1,0,0
1,0,1,1,0,0,1,0
