support,itemsets
0.6451612903225806,frozenset({0})
0.7634408602150538,frozenset({1})
0.6881720430107527,frozenset({2})
0.6344086021505376,frozenset({3})
0.5591397849462365,frozenset({4})
0.4838709677419355,"frozenset({0, 1})"
0.5053763440860215,"frozenset({0, 2})"
0.43010752688172044,"frozenset({0, 3})"
0.3763440860215054,"frozenset({0, 4})"
0.5806451612903226,"frozenset({1, 2})"
0.5161290322580645,"frozenset({1, 3})"
0.40860215053763443,"frozenset({1, 4})"
0.5053763440860215,"frozenset({2, 3})"
0.3870967741935484,"frozenset({2, 4})"
0.3118279569892473,"frozenset({3, 4})"
0.44086021505376344,"frozenset({0, 1, 2})"
0.3655913978494624,"frozenset({0, 1, 3})"
0.27956989247311825,"frozenset({0, 1, 4})"
0.3978494623655914,"frozenset({0, 2, 3})"
0.3010752688172043,"frozenset({0, 2, 4})"
0.23655913978494625,"frozenset({0, 3, 4})"
0.43010752688172044,"frozenset({1, 2, 3})"
0.3118279569892473,"frozenset({1, 2, 4})"
0.23655913978494625,"frozenset({1, 3, 4})"
0.24731182795698925,"frozenset({2, 3, 4})"
0.34408602150537637,"frozenset({0, 1, 2, 3})"
0.25806451612903225,"frozenset({0, 1, 2, 4})"
0.1935483870967742,"frozenset({0, 1, 3, 4})"
0.21505376344086022,"frozenset({0, 2, 3, 4})"
0.20430107526881722,"frozenset({1, 2, 3, 4})"
0.1827956989247312,"frozenset({0, 1, 2, 3, 4})"
